,song_name,artist,album,artist_id,song_id,popularity,explicit,duration,key,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,release_year
86,Aquafina,Young Jonn,Aquafina,4JM1zsVj1pt38Q8mhv5teI,59sAr7NvZDeH7oYrkiyZcQ,58,False,3.0,6,0.821,0.619,-9.496,0,0.102,0.0286,4.93e-06,0.118,0.388,115.949,2023-04-28,2023
87,reason,Omah Lay,Boy Alone (Deluxe Edition),5yOvAmpIR7hVxiS6Ls5DPO,7HE4q8P1KFgC6dMBL5WLkP,65,False,2.0,2,0.748,0.692,-8.112,1,0.248,0.378,0.000198,0.121,0.872,107.962,2023-06-15,2023
88,Morowore,Olamide,"Ikigai / 生き甲斐, Vol. 1",4ovtyvs7j1jSmwhkBGHqSr,3W3y3pGDnfhUQHeCoUwFLe,64,False,3.0,1,0.425,0.829,-6.661,1,0.211,0.114,0.0154,0.292,0.577,155.637,2024-06-26,2024
89,On God,Seyi Vibez,On God,4zmZ8lVLzGc84S4v2B1rLx,5MK0laOw0gGrdzejgs2viA,59,True,3.0,2,0.613,0.785,-6.67,1,0.309,0.211,0.00845,0.109,0.442,155.312,2024-05-08,2024
90,Dey Play,Burna Boy,I Told Them...,3wcj11K77LjEY1PkEazffa,7KEPDWPWa4wfsP0Ee7JlIr,51,False,3.0,0,0.674,0.547,-5.931,1,0.255,0.102,0.00471,0.136,0.752,65.517,2023-08-24,2023
91,Adenuga (feat. Qing Madi),Joeboy,Adenuga x Concerning,1XavfPKBpNjkOfxHINlMHF,74CA9T8IpFzrLNFV6EoY3a,67,True,3.0,8,0.594,0.789,-4.847,0,0.051,0.289,0.0,0.166,0.351,114.086,2024-04-17,2024
92,Giza (feat. Seyi Vibez),Burna Boy,I Told Them...,3wcj11K77LjEY1PkEazffa,0UdBaetogSoEIO7fSD1334,61,True,3.0,5,0.785,0.694,-7.136,1,0.0911,0.165,1.65e-05,0.15,0.603,116.07,2023-08-24,2023
93,Infinity (feat. Omah Lay),Olamide,Carpe Diem,4ovtyvs7j1jSmwhkBGHqSr,5DS9LiyEdw2zY8bM6kjjgM,68,True,3.0,7,0.93,0.535,-8.755,0,0.111,0.303,0.0201,0.146,0.518,102.017,2020-10-07,2020
94,Bae Bae,Ruger,RnB,0a1SidMjD8D6EHvJph4n2H,5s33nLb8BCeeKep2rfG7To,66,False,3.0,5,0.572,0.632,-6.649,1,0.0574,0.345,0.597,0.172,0.793,120.648,2024-04-17,2024
95,My Padi,Tml Vibez,Timileyin 2.0,4x4ggvlhCaj5oNqKRRwOAL,0UCeIfzJQ4sZvALq33G9rd,62,True,2.0,5,0.715,0.473,-8.4,1,0.45,0.453,0.491,0.0872,0.446,75.152,2024-06-28,2024
96,Cast,Shallipopi,Presido La Pluto,4TKhxSkqClXrdtUWgKqHVU,6BWgLorAwF17ofyu8361HM,66,True,2.0,6,0.91,0.844,-4.224,1,0.0735,0.075,1.22e-05,0.0297,0.876,113.027,2023-11-10,2023
97,Ilashe,Ruger,RnB,0a1SidMjD8D6EHvJph4n2H,1kW728xFsRBvunN1yiTsNf,66,True,3.0,8,0.811,0.754,-6.868,0,0.0603,0.0372,0.000247,0.119,0.451,115.02,2024-04-17,2024
98,Get it Right (feat. Asake),Tems,Born in the Wild,687cZJR45JO7jhk1LHIbgq,3raxjPdY70b4a9ks1Bd0mz,67,False,3.0,5,0.769,0.439,-10.562,0,0.0733,0.0523,1.72e-06,0.115,0.357,116.872,2024-06-06,2024
99,One Call,SPINALL,One Call,2NtQA3PY9chI8l65ejZLTP,3qSk5TP4A8gQIsb8iNVwnx,72,False,3.0,5,0.756,0.732,-5.924,0,0.0472,0.0297,0.0222,0.25,0.532,109.016,2024-07-19,2024
